번호,구분,화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치연월,WGS84위도,WGS84경도,화장실소유구분,화장실설치장소유형,오물처리방식,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자
27,공중화장실,삼청테니스장,서울특별시 종로구 삼청로 156,,N,2,2,0,0,0,0,3,0,0,종로구시설관리공단,02-2148-4068,월-금07:00~21:00 토-일07:00~18:00 공휴일09:00~18:00,,37.5888742,126.9828063,공공기관,관광·체육시설,수세식,N,없음,N,N,없음,,2020-04-20
28,공중화장실,동부여성문화센터,서울특별시 창신길 124,,N,2,2,0,0,1,1,6,0,0,종로구시설관리공단,02-2148-4063,월-금06:00~22:00 토    9:00~12:00 공휴일 휴관,,37.5769624,127.0098950,공공기관,관광·체육시설,수세식,Y,,N,N,없음,,2020-04-20
29,개방화장실,주식회사 대양씨앤씨,서울 종로구 사직로 65,,Y,1,2,0,0,0,0,1,0,0,종로구청 환경과,,24시간,,37.5745419,126.9666296,지방자치단체,주유소·충전소,수세식,N,없음,N,N,없음,,2020-04-17
30,개방화장실,SK네트웍스㈜재동주유소,서울 종로구 율곡로 58,,Y,1,1,0,0,0,0,1,0,0,종로구청 환경과,,24시간,,37.5763545,126.9858293,지방자치단체,주유소·충전소,수세식,N,없음,N,N,없음,,2020-04-17
31,개방화장실,주식회사 대양씨앤씨 경복궁주유소,서울 종로구 율곡로 6,,Y,1,0,0,0,0,0,1,0,0,종로구청 환경과,,24시간,,37.5754403,126.9797454,지방자치단체,주유소·충전소,수세식,N,없음,N,N,없음,,2020-04-17
32,개방화장실,자하문주유소,서울 종로구 자하문로 248,,Y,1,2,0,0,0,0,1,0,0,종로구청 환경과,,24시간,,37.5963026,126.9643826,지방자치단체,주유소·충전소,수세식,N,없음,N,N,없음,,2020-04-17
33,개방화장실,안풍주유소,서울 종로구 자하문로 303,,Y,2,1,0,0,0,0,1,0,0,종로구청 환경과,,24시간,,37.5992512,126.9591673,지방자치단체,주유소·충전소,수세식,N,없음,N,N,없음,,2020-04-17
34,개방화장실,㈜중앙에너비스 혜화지점,서울 종로구 창경궁로35길 1,,Y,1,1,0,0,0,0,1,0,0,종로구청 환경과,,24시간,,37.5860666,127.0010977,지방자치단체,주유소·충전소,수세식,N,없음,N,N,없음,,2020-04-17
35,개방화장실,㈜지에스이앤알 평창주유소,서울 종로구 평창문화로 135,,Y,1,2,0,0,0,0,1,0,0,종로구청 환경과,,24시간,,37.6097409,126.9745791,지방자치단체,주유소·충전소,수세식,N,없음,N,N,없음,,2020-04-17
36,개방화장실,SK북악주유소,서울 종로구 평창문화로 137,,Y,1,1,0,0,0,0,2,0,0,종로구청 환경과,,24시간,,37.6098555,126.9748846,지방자치단체,주유소·충전소,수세식,N,없음,N,N,없음,,2020-04-17
37,개방화장실,구도일주유소 특종,서울 종로구 평창문화로 90,,Y,1,2,0,0,0,0,1,0,0,종로구청 환경과,,24시간,,37.6067444,126.9710339,지방자치단체,주유소·충전소,수세식,N,없음,N,N,없음,,2020-04-17
38,공중화장실,북악팔각정 공중화장실,서울 종로구 북악산로 267,서울특별시 종로구 평창동 산6-17,N,4,7,1,0,0,0,7,1,0,종로구시설관리공단,02-3676-0585,24시간,1997-01,37.6019754,126.9805512,지방자치단체,관광·체육시설,수세식,Y,장애인화장실+남자화장실+여자화장실,N,Y,,2010-04,2020-04-16
39,공중화장실,이화동주민센터 화장실,서울 종로구 이화장길 33,,N,1,1,1,1,0,0,1,1,0,종로구 이화동주민센터,,8,,37.5770080,127.0043380,지방자치단체,관광·체육시설,수세식,N,없음,Y,Y,,,2020-04-17
40,공중화장실,낙산공원 화장실,서울 종로구 낙산길 41,,N,3,4,1,0,0,0,4,1,1,중부공원녹지사업소,,24,,37.5806001,127.0065352,지방자치단체,관광·체육시설,수세식,Y,,Y,Y,,,2020-04-17
41,공중화장실,평창동주민센터,서울 종로구 평창문화로65,,Y,1,1,1,1,0,0,2,1,0,종로구 평창동주민센터,,09시~18시,,37.6063166,126.9681871,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-03-30
42,공중화장실,교남동주민센터,서울 종로구 송월길 154(행촌동; 교남동주민센터),,N,3,3,1,1,0,0,4,1,0,종로구 교남동주민센터,02-2148-5186,평일 09:00~18:00,,37.5719391,126.9619364,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-03-30
43,공중화장실,강북삼성병원,서울 종로구 새문안로 29(평동; 강북삼성병원),,N,1,2,1,1,0,0,3,1,0,강북삼성병원,02-1599-8114,평일 08:30~17:00,,37.5684083,126.9677500,민간,기타,수세식,N,없음,N,N,없음,,2020-03-30
44,공중화장실,청운효자동주민센터,서울특별시 종로구 자하문로 92,,N,2,1,1,0,0,0,3,1,0,종로구 청운효자동주민센터,,09:00~18:00,,37.5841367,126.9706519,지방자치단체,공공용시설,수세식,N,없음,N,Y,,,2020-04-17
45,공중화장실,무악동주민센터,서울특별시 종로구 통일로14길 36,서울특별시 종로구 무악동 60-2,N,7,11,1,1,0,0,18,1,0,무악동주민센터,02-2148-5152,09:00~ 18:00,1905-06,37.5760032,126.9581480,지방자치단체,공공용시설,수세식,Y,장애인화장실+남자화장실+여자화장실,Y,Y,,,2020-04-13
46,공중화장실,사직동 주민센터화장실,서울특별시 종로구 사직로9길1,서울특별시 종로구 사직동1-28,N,1,1,0,0,0,0,2,1,0,종로구 사직동주민센터,02-2148-5035,09:00~18:00,,37.5761960,126.9688397,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-04-07
47,공중화장실,부암동 주민센터화장실,서울특별시 종로구 창의문로 145,서울특별시 종로구 부암동 265-21,N,2,2,1,0,0,0,2,1,0,종로구 부암동주민센터,02-2148-2383,9시간,1986-09,37.5924785,126.9641000,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-03-30
48,공중화장실,가회동주민센터화장실,서울특별시 종로구 북촌로 35,서울특별시 종로구 가회동 156,N,1,2,0,0,0,0,2,0,0,종로구가회동주민센터,02-2148-5212,24시간,,37.5800784,126.9847995,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-04-22
49,공중화장실,삼청동주민센터,서울 종로구 삼청로 107 (삼청동; 삼청동주민센터),서울 종로구 삼청동 105-1,N,2,2,1,1,0,0,1,1,0,종로구 삼청동주민센터,02-2148-5064,9시간,,37.5850126,126.9818360,지방자치단체,공공용시설,수세식,N,없음,Y,N,없음,,2020-04-14
50,공중화장실,종로1234가동 주민센터,서울 종로구 삼일대로30길 47,익선동 99,N,1,2,1,0,0,0,3,0,0,종로1234가동 주민센터,02-2148-5244,10시간,,37.5744610,126.9902618,지방자치단체,공공용시설,수세식,N,없음,N,Y,,,2020-04-16
51,공중화장실,동대문지하상가 화장실,서울 종로구 율곡로 지하 308,,N,3,5,0,0,0,0,8,0,0,서울시시설관리공단,02-2290-6545,06:00~24:00,,-1,-1,지방자치단체,공공용시설,수세식,Y,,Y,N,없음,,2020-03-30
52,공중화장실,종오지하상가 화장실,서울 종로구 종로 지하 200,,N,3,3,0,0,0,0,7,0,0,서울시시설관리공단,02-2290-6433,06:00~24:00,,-1,-1,지방자치단체,상업시설,수세식,Y,,Y,N,없음,,2020-03-30
53,공중화장실,광장시장 나들이 쉼터,서울 종로구 종로32길 19,,N,2,2,0,0,0,0,4,0,0,광장시장상인연합회,02-2269-8855,08:00~21:00,,37.5701592,127.0012646,지방자치단체,상업시설,수세식,N,없음,N,Y,,,2020-03-30
54,공중화장실,종로5-6가동주민센터,서울 종로구 종로35가길 19,,N,2,3,0,0,0,0,2,0,0,종로5-6가동주민센터,02-2148-5272,09:00~18:00,,37.5720148,127.0050414,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-03-30
55,공중화장실,혜화동공중화장실(한옥청사),서울특별시 종로구 혜화로 12 (혜화동),서울특별시 종로구 혜화동 74-29 (혜화동),N,1,1,0,0,0,0,1,0,0,종로구 혜화동주민센터,02-2148-5356,09:00~18:00,,37.5869186,127.0005764,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-03-27
56,공중화장실,혜화동공중화장실(자치회관),서울특별시 종로구 혜화로 12 (혜화동),서울특별시 종로구 혜화동 74-30 (혜화동),N,1,1,1,1,0,0,4,1,1,종로구 혜화동주민센터,02-2148-5356,09:00~18:00,,37.5869186,127.0005764,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-03-27
57,공중화장실,창신1동 주민센터,서울특별시 종로구 지봉로 8-6,,N,2,2,1,0,0,0,2,1,0,종로구 창신1동주민센터,,09:00~18:00,,37.5707580,127.0163630,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-03-30
58,공중화장실,창신2동 주민센터,서울특별시 종로구 창신길 62,,N,2,3,1,0,0,0,2,1,0,종로구 창신2동주민센터,,09:00~18:00,,37.5744580,127.0108630,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-03-30
59,공중화장실,창신제3동주민센터,서울특별시 종로구 지봉로 87; 2층,서울특별시 종로구 창신동 23-816,N,1,2,1,1,0,0,2,1,0,종로구 창신3동주민센터,02-2148-5452,09:00~18:00,,37.5779055,127.0150474,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-04-13
60,공중화장실,숭인1동주민센터,서울특별시 종로구 지봉로 86,,N,2,2,1,0,0,0,2,1,0,종로구 숭인제1동주민센터,,09:00~18:00,,37.5778049,127.0156274,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-03-30
61,공중화장실,숭인2동주민센터,서울 종로구 종로65길 10,,N,6,8,1,1,0,0,8,1,0,종로구 숭인제2동주민센터,,9시~18시,,37.5748670,127.0199880,지방자치단체,공공용시설,수세식,N,없음,Y,Y,,,2020-04-17
62,개방화장실,SK본사,서울 종로구종로26(서린동 99),,N,2,4,1,0,0,0,2,1,0,Sk본사,,07:00~20:00,,37.5697097,126.9804525,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
63,개방화장실,현대해상빌딩,서울 종로구세종대로 163(세종로 178),,N,1,2,0,0,0,0,2,0,0,현대해상,,상시,,37.5709799,126.9761884,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
64,개방화장실,영풍빌딩,서울 종로구청계천로41(서린동 33),,N,2,3,0,0,0,0,3,0,0,영풍빌딩,,07:00-22:30,,37.5696712,126.9821965,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
65,개방화장실,버거킹(종로점),서울 종로구종로94(종로2가 56-23),,N,1,1,0,0,0,0,4,0,0,버거킹(종로점),,상시,,37.5699587,126.9881077,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
66,개방화장실,KFC대학로점,서울 종로구대학로120(동숭동 1-27),,N,1,2,0,0,0,0,2,0,0,KFC대학로점,,상시,,37.5818891,127.0023149,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
67,개방화장실,계원빌딩,서울 종로구청계천로71(관철동 32-7),,N,2,2,0,0,0,0,2,0,0,계원빌딩,,06:00-22:30,,37.5687863,126.9855180,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
68,개방화장실,동대문 신발상가 A동,서울 종로구청계천로 295(창신1동 436-79),,N,2,2,0,0,0,0,2,0,0,동대문 신발상가 A동,,10:00-05:00,,37.5700629,127.0106915,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
69,개방화장실,광장시장 1층 청과부,서울 종로구창경궁로 88(예지동 6-1),,N,2,4,0,0,0,0,3,0,0,광장시장,,08:00-21:30,,37.5701125,126.9997071,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
70,개방화장실,광장시장 3층 동관부,서울 종로구창경궁로 88(예지동 6-1),,N,2,3,0,0,0,0,3,0,0,광장시장,,08:00-19:00+일요일폐쇄,,37.5701125,126.9997071,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
71,개방화장실,광장시장 3층 별관포목부,서울 종로구창경궁로 88(예지동 6-1),,N,2,3,0,0,0,0,3,0,0,광장시장,,08:00-19:00+일요일폐쇄,,37.5701125,126.9997071,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
72,개방화장실,광장시장 3층 광장직물부,서울 종로구창경궁로 88(예지동 6-1),,N,4,4,0,0,0,0,5,0,0,광장시장,,08:00-19:00+일요일폐쇄,,37.5701125,126.9997071,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
73,개방화장실,광장골목시장 수도직물(3층),서울 종로구청계천로195-7(예지동 257-1),,N,1,3,0,0,0,0,2,0,0,광장시장,,08:00-19:00,,37.5695358,126.9991960,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
74,개방화장실,종합시장D동상가 본관지하1층,서울 종로구종로266(종로6가 270-3),,N,3,4,0,0,0,0,5,0,0,종합시장D동상가,,07:00-20:00+일요일격주휴무,,37.5706765,127.0073136,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
75,개방화장실,종합시장D동상가 본관지상3층,서울 종로구종로266(종로6가 270-3),,N,3,4,0,0,0,0,5,0,0,종합시장D동상가,,07:00-20:00,,37.5706765,127.0073136,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
76,개방화장실,인창빌딩,서울 종로구인사동길 29(관훈동 197-4),,N,1,1,0,0,0,0,1,0,0,인창빌딩,,05:00-24:00,,37.5732530,126.9858262,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
77,개방화장실,신문로빌딩,서울 종로구새문안로38(신문로2가 12-5),,N,2,2,0,0,0,0,2,0,0,신문로빌딩,,상시,,37.5683703,126.9697738,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
78,개방화장실,여전도회관,서울 종로구율곡로190(연지동 1-1),,N,2,2,0,0,0,0,2,0,0,여전도회관,,06:00-23:00,,37.5755694,126.9997177,민간,공공용시설,수세식,N,없음,N,N,없음,,2020-05-12
79,개방화장실,경희궁의 아침 3단지,서울 종로구사직로8길 34(내수동 72),,N,3,3,0,0,0,0,4,0,0,경희궁의 아침 3단지,,상시,,37.5738725,126.9718472,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
80,개방화장실,맥도날드(종로3가),서울 종로구종로115(종로3가 10-1),,N,1,1,0,0,0,0,2,0,0,맥도날드(종로3가),,상시,,37.5706126,126.9904730,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
81,개방화장실,맥도날드(대학로),서울 종로구대학로130(동숭동 1-34),,N,1,1,0,0,0,0,2,0,0,맥도날드(대학로),,상시,,37.5828930,127.0021374,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
82,개방화장실,버거킹(수송동점),서울 종로구삼봉로57(수송동 68-1),,N,1,1,0,0,0,0,1,0,0,버거킹(수송동점),,상시,,37.5725615,126.9804738,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
83,개방화장실,신진시장(만남의 장소),서울 종로구종로38길 16(종로5가 225-21),,N,1,2,0,0,0,0,4,0,0,신진시장(만남의 장소),,상시,,37.5702286,127.0049462,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
84,개방화장실,4.19도서관,서울 종로구새문안로17(평동 166),,N,2,3,0,0,0,0,2,0,0,4.19도서관,,08:00-22:00,,37.5673583,126.9676000,민간,공공용시설,수세식,N,없음,N,N,없음,,2020-05-12
85,개방화장실,한국공예문화진흥원,서울 종로구인사동11길 8(관훈동 182-2),,N,1,1,1,1,0,0,1,1,0,한국공예문화진흥원,,10:00-18:00,,37.5740102,126.9841328,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
86,개방화장실,수운회관,서울 종로구삼일대로457(경운동 88),,N,1,2,0,1,0,0,3,0,0,수운회관,,07:00-19:00,,37.5753462,126.9861847,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
87,개방화장실,라이온스 빌딩,서울 종로구삼일대로451(경운동 70),,N,2,1,0,1,0,0,2,0,0,라이온스 빌딩,,(평일)05:00-22:00+(주말)05:00-14:00+일요일폐쇄,,37.5747161,126.9866295,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
88,개방화장실,하나로빌딩,서울 종로구인사동5길 25(인사동 194-4),,N,4,3,0,1,0,0,3,0,0,하나로빌딩,,05:00-21:00,,37.5720998,126.9854105,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
89,개방화장실,광장시장(합동;화창빌딩),서울 종로구종로194-7(종로4가 158),,N,2,2,0,0,0,0,2,0,0,광장시장(합동;화창빌딩),,07:00-18:00+일요일폐쇄,,37.5704153,126.9993742,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
90,개방화장실,대학로예술극장,서울 종로구대학로10길 17(동숭동1-67),,N,4,3,0,0,0,0,2,0,0,대학로예술극장,,09:00-22:00,,37.5820457,127.0031897,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
91,개방화장실,흥사단,서울 종로구대학로122(동숭동 1-28),,N,1,3,0,0,0,0,2,0,0,흥사단,,06:00-22:00,,37.5822138,127.0022798,민간,공공용시설,수세식,N,없음,N,N,없음,,2020-05-12
92,개방화장실,세운스퀘어(테크노관1층),서울 종로구창경궁로109(인의동112-2),,N,2,2,1,0,0,0,3,1,0,세운스퀘어,,09:30-20:00 +일요일폐쇄,,37.5716900,126.9964570,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
93,개방화장실,세운스퀘어(라이프관1층),서울 종로구창경궁로109(인의동112-2),,N,2,2,1,0,0,0,3,1,0,세운스퀘어,,09:30-20:00 +일요일폐쇄,,37.5716900,126.9964570,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
94,개방화장실,세운스퀘어(주얼리관),서울 종로구창경궁로109(인의동112-2),,N,2,3,1,0,0,0,5,1,0,세운스퀘어,,09:30-20:00 +일요일폐쇄,,37.5716900,126.9964570,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
95,개방화장실,계동교회,서울 종로구계동길81(계동74-1),,N,1,1,0,0,0,0,2,0,0,계동교회,,06:00-22:00,,37.5810000,126.9866464,민간,기타,수세식,N,없음,N,N,없음,,2020-05-12
96,개방화장실,허리우드극장(낙원상가4층),서울 종로구삼일대로428(낙원동284-6),,N,3,5,1,1,0,0,9,1,0,허리우드극장(낙원상가4층),,09:00-22:00,,37.5727653,126.9879193,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
97,개방화장실,쌈지길(지하1층),서울 종로구인사동길44(관훈동 38),,N,1,2,1,1,0,0,1,1,0,쌈지길,,10:30-20:30,,37.5742648,126.9848766,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
98,개방화장실,쌈지길(지상1;2층),서울 종로구인사동길44(관훈동 38),,N,2,2,0,0,0,0,2,0,0,쌈지길,,10:30-20:30,,37.5742648,126.9848766,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
99,개방화장실,토포하우스,서울 종로구인사동11길 6(관훈동184),,N,1,0,0,0,0,0,1,0,0,토포하우스,,10:00-19:00,,37.5741040,126.9843370,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
100,개방화장실,동양예술극장,서울 종로구혜화동 163-24,,N,4,4,1,1,0,0,9,1,0,동양예술극장,,09:00-23:00+월요일휴관,,37.5846225,127.0023446,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
101,개방화장실,색실문양누비공방,서울 종로구북촌로12길17(가회동 11-103),,Y,0,1,0,0,0,0,1,0,0,색실문양누비공방,,10:00-18:00+ 월요일휴관,,37.5821481,126.9856425,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
102,개방화장실,동립매듭박물관,서울 종로구북촌로12길10(가회동11-7),,Y,0,1,0,0,0,0,1,0,0,동립매듭박물관,,10:00-18:00+ 월요일휴관,,37.5818094,126.9855901,민간,상업시설,수세식,N,없음,N,N,없음,,2020-05-12
